gemma-4-31B-it,gemma-4-31B-it,gemma-4-31B-it,gemma-4-31B-it,gpt-4o,gpt-4o,gpt-4o,gpt-4o,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Mistral-Large-Instruct-2411,Mistral-Large-Instruct-2411,Mistral-Large-Instruct-2411,Mistral-Large-Instruct-2411,Qwen3-Next-80B-A3B-Instruct,Qwen3-Next-80B-A3B-Instruct,Qwen3-Next-80B-A3B-Instruct,Qwen3-Next-80B-A3B-Instruct
Accuracy,F1-Macro,F1-Micro,Invalid,Accuracy,F1-Macro,F1-Micro,Invalid,Accuracy,F1-Macro,F1-Micro,Invalid,Accuracy,F1-Macro,F1-Micro,Invalid,Accuracy,F1-Macro,F1-Micro,Invalid
"77.52 [77.47, 77.58]","73.62 [73.55, 73.68]","77.52 [77.47, 77.58]","0.00 [0.00, 0.00]","81.22 [81.17, 81.27]","76.86 [76.80, 76.92]","81.22 [81.17, 81.27]","0.00 [0.00, 0.00]","71.88 [71.82, 71.94]","68.57 [68.50, 68.64]","71.88 [71.82, 71.94]","0.00 [0.00, 0.00]","77.93 [77.88, 77.99]","73.86 [73.80, 73.93]","77.93 [77.88, 77.99]","0.00 [0.00, 0.00]","79.12 [79.06, 79.18]","74.88 [74.81, 74.94]","79.12 [79.06, 79.18]","0.00 [0.00, 0.00]"
"96.67 [96.60, 96.74]","93.44 [93.31, 93.57]","96.67 [96.60, 96.74]","0.00 [0.00, 0.00]","96.67 [96.60, 96.74]","93.50 [93.36, 93.63]","96.67 [96.60, 96.74]","0.00 [0.00, 0.00]","95.50 [95.42, 95.58]","91.48 [91.33, 91.62]","95.50 [95.42, 95.58]","0.00 [0.00, 0.00]","96.93 [96.87, 97.00]","93.93 [93.81, 94.06]","96.93 [96.87, 97.00]","0.00 [0.00, 0.00]","96.64 [96.57, 96.70]","93.40 [93.26, 93.53]","96.64 [96.57, 96.70]","0.00 [0.00, 0.00]"
"89.15 [89.02, 89.28]","85.99 [85.83, 86.15]","89.15 [89.02, 89.28]","0.00 [0.00, 0.00]","93.84 [93.74, 93.93]","91.39 [91.26, 91.53]","93.84 [93.74, 93.93]","0.00 [0.00, 0.00]","89.11 [88.98, 89.24]","85.96 [85.79, 86.13]","89.11 [88.98, 89.24]","0.00 [0.00, 0.00]","70.24 [70.06, 70.42]","67.56 [67.36, 67.75]","70.24 [70.06, 70.42]","1.34 [1.29, 1.39]","92.12 [92.01, 92.24]","89.44 [89.29, 89.59]","92.12 [92.01, 92.24]","0.00 [0.00, 0.00]"
"44.61 [44.50, 44.71]","55.49 [55.38, 55.61]","60.40 [60.32, 60.49]","25.45 [25.36, 25.53]","41.12 [41.02, 41.22]","48.04 [47.93, 48.15]","55.07 [54.99, 55.15]","22.89 [22.81, 22.98]","39.30 [39.20, 39.39]","46.62 [46.51, 46.72]","54.85 [54.77, 54.93]","13.14 [13.07, 13.21]","42.21 [42.11, 42.31]","51.81 [51.71, 51.92]","58.80 [58.72, 58.88]","20.17 [20.09, 20.25]","42.05 [41.95, 42.15]","51.12 [51.01, 51.23]","57.73 [57.65, 57.81]","23.97 [23.89, 24.06]"
"88.08 [87.99, 88.18]","81.00 [80.85, 81.15]","88.08 [87.99, 88.18]","0.00 [0.00, 0.00]","82.84 [82.73, 82.95]","75.62 [75.47, 75.77]","82.84 [82.73, 82.95]","0.00 [0.00, 0.00]","81.39 [81.27, 81.51]","75.51 [75.36, 75.66]","81.39 [81.27, 81.51]","0.00 [0.00, 0.00]","83.54 [83.43, 83.66]","76.45 [76.30, 76.60]","83.54 [83.43, 83.66]","0.00 [0.00, 0.00]","83.48 [83.36, 83.59]","75.66 [75.51, 75.82]","83.48 [83.36, 83.59]","0.00 [0.00, 0.00]"
"86.53 [86.39, 86.67]","86.46 [86.31, 86.60]","86.53 [86.39, 86.67]","0.00 [0.00, 0.00]","73.34 [73.15, 73.52]","72.31 [72.12, 72.51]","73.34 [73.15, 73.52]","0.00 [0.00, 0.00]","73.51 [73.33, 73.69]","73.42 [73.24, 73.60]","73.51 [73.33, 73.69]","0.00 [0.00, 0.00]","78.31 [78.14, 78.48]","78.04 [77.87, 78.21]","78.31 [78.14, 78.48]","0.00 [0.00, 0.00]","74.24 [74.06, 74.41]","73.33 [73.14, 73.51]","74.24 [74.06, 74.41]","0.00 [0.00, 0.00]"
"87.72 [87.66, 87.77]","87.92 [87.86, 87.97]","87.72 [87.66, 87.77]","0.00 [0.00, 0.00]","86.97 [86.92, 87.03]","87.02 [86.97, 87.07]","86.97 [86.92, 87.03]","0.00 [0.00, 0.00]","82.32 [82.26, 82.39]","82.40 [82.34, 82.46]","82.32 [82.26, 82.39]","0.00 [0.00, 0.00]","84.71 [84.66, 84.77]","84.91 [84.85, 84.97]","84.71 [84.66, 84.77]","0.07 [0.07, 0.07]","85.09 [85.03, 85.15]","85.28 [85.23, 85.34]","85.09 [85.03, 85.15]","0.00 [0.00, 0.00]"
"48.86 [48.74, 48.97]","47.55 [47.43, 47.67]","48.86 [48.74, 48.97]","0.00 [0.00, 0.00]","52.48 [52.37, 52.59]","52.16 [52.04, 52.28]","52.48 [52.37, 52.59]","0.00 [0.00, 0.00]","47.21 [47.10, 47.32]","45.06 [44.94, 45.17]","47.21 [47.10, 47.32]","0.00 [0.00, 0.00]","52.54 [52.42, 52.66]","48.98 [48.84, 49.12]","52.54 [52.42, 52.66]","0.00 [0.00, 0.00]","51.24 [51.12, 51.36]","48.28 [48.16, 48.41]","51.24 [51.12, 51.36]","0.00 [0.00, 0.00]"
"34.85 [34.65, 35.04]","65.80 [65.58, 66.01]","72.35 [72.25, 72.46]","0.00 [0.00, 0.00]","41.11 [40.91, 41.31]","64.49 [64.29, 64.68]","72.20 [72.09, 72.31]","0.00 [0.00, 0.00]","22.62 [22.45, 22.79]","60.05 [59.85, 60.25]","63.12 [63.02, 63.23]","0.00 [0.00, 0.00]","19.50 [19.34, 19.65]","53.01 [52.81, 53.21]","59.92 [59.81, 60.04]","0.00 [0.00, 0.00]","32.32 [32.13, 32.52]","60.68 [60.45, 60.90]","67.84 [67.73, 67.96]","0.00 [0.00, 0.00]"
