gemma-4-31B-it-Non-Thinking,gemma-4-31B-it-Non-Thinking,gemma-4-31B-it-Non-Thinking,gemma-4-31B-it-Non-Thinking,gpt-4o,gpt-4o,gpt-4o,gpt-4o,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Mistral-Large-Instruct-2411,Mistral-Large-Instruct-2411,Mistral-Large-Instruct-2411,Mistral-Large-Instruct-2411,Qwen3-Next-80B-A3B-Instruct-Non-Thinking,Qwen3-Next-80B-A3B-Instruct-Non-Thinking,Qwen3-Next-80B-A3B-Instruct-Non-Thinking,Qwen3-Next-80B-A3B-Instruct-Non-Thinking
Accuracy,F1-Macro,F1-Micro,Invalid,Accuracy,F1-Macro,F1-Micro,Invalid,Accuracy,F1-Macro,F1-Micro,Invalid,Accuracy,F1-Macro,F1-Micro,Invalid,Accuracy,F1-Macro,F1-Micro,Invalid
"76.92 [76.86, 76.97]","72.97 [72.90, 73.03]","76.92 [76.86, 76.97]","0.00 [0.00, 0.00]","83.84 [83.79, 83.89]","79.15 [79.08, 79.21]","83.84 [83.79, 83.89]","0.00 [0.00, 0.00]","69.82 [69.76, 69.88]","66.72 [66.66, 66.79]","69.82 [69.76, 69.88]","0.00 [0.00, 0.00]","76.46 [76.41, 76.52]","72.60 [72.53, 72.66]","76.46 [76.41, 76.52]","0.00 [0.00, 0.00]","78.63 [78.57, 78.69]","74.48 [74.41, 74.54]","78.63 [78.57, 78.69]","0.00 [0.00, 0.00]"
"96.62 [96.56, 96.69]","93.39 [93.25, 93.52]","96.62 [96.56, 96.69]","0.00 [0.00, 0.00]","96.61 [96.54, 96.68]","93.38 [93.24, 93.52]","96.61 [96.54, 96.68]","0.00 [0.00, 0.00]","95.18 [95.10, 95.26]","90.93 [90.78, 91.09]","95.18 [95.10, 95.26]","0.00 [0.00, 0.00]","96.23 [96.16, 96.30]","92.70 [92.56, 92.84]","96.23 [96.16, 96.30]","0.00 [0.00, 0.00]","96.27 [96.20, 96.34]","92.75 [92.61, 92.88]","96.27 [96.20, 96.34]","0.00 [0.00, 0.00]"
"87.83 [87.70, 87.97]","84.49 [84.32, 84.66]","87.83 [87.70, 87.97]","0.00 [0.00, 0.00]","92.14 [92.03, 92.25]","89.43 [89.28, 89.57]","92.14 [92.03, 92.25]","0.00 [0.00, 0.00]","85.63 [85.48, 85.77]","82.07 [81.90, 82.25]","85.63 [85.48, 85.77]","0.00 [0.00, 0.00]","75.49 [75.31, 75.68]","72.26 [72.06, 72.46]","75.49 [75.31, 75.68]","2.64 [2.58, 2.71]","93.54 [93.44, 93.64]","91.14 [91.00, 91.28]","93.54 [93.44, 93.64]","0.00 [0.00, 0.00]"
"44.56 [44.46, 44.66]","54.67 [54.55, 54.78]","59.99 [59.91, 60.07]","25.25 [25.16, 25.34]","42.89 [42.79, 42.99]","50.92 [50.81, 51.03]","56.80 [56.72, 56.88]","23.61 [23.52, 23.70]","38.28 [38.18, 38.38]","44.64 [44.54, 44.74]","53.77 [53.69, 53.84]","12.53 [12.46, 12.60]","43.34 [43.24, 43.44]","53.06 [52.95, 53.18]","60.17 [60.09, 60.25]","16.14 [16.06, 16.21]","43.81 [43.71, 43.91]","51.96 [51.84, 52.07]","58.22 [58.14, 58.31]","25.32 [25.23, 25.41]"
"89.63 [89.54, 89.72]","83.03 [82.88, 83.17]","89.63 [89.54, 89.72]","0.00 [0.00, 0.00]","85.17 [85.06, 85.28]","76.81 [76.65, 76.97]","85.17 [85.06, 85.28]","0.00 [0.00, 0.00]","80.32 [80.20, 80.44]","75.18 [75.03, 75.33]","80.32 [80.20, 80.44]","0.00 [0.00, 0.00]","79.08 [78.96, 79.20]","72.05 [71.89, 72.21]","79.08 [78.96, 79.20]","0.00 [0.00, 0.00]","83.35 [83.24, 83.46]","77.53 [77.38, 77.67]","83.35 [83.24, 83.46]","0.00 [0.00, 0.00]"
"88.78 [88.65, 88.91]","88.71 [88.58, 88.84]","88.78 [88.65, 88.91]","0.00 [0.00, 0.00]","68.13 [67.94, 68.32]","65.97 [65.77, 66.17]","68.13 [67.94, 68.32]","0.00 [0.00, 0.00]","80.13 [79.96, 80.30]","80.06 [79.89, 80.23]","80.13 [79.96, 80.30]","0.00 [0.00, 0.00]","74.22 [74.04, 74.40]","73.36 [73.18, 73.54]","74.22 [74.04, 74.40]","0.00 [0.00, 0.00]","75.31 [75.13, 75.49]","74.49 [74.30, 74.68]","75.31 [75.13, 75.49]","0.00 [0.00, 0.00]"
"87.56 [87.51, 87.62]","87.73 [87.67, 87.78]","87.56 [87.51, 87.62]","0.00 [0.00, 0.00]","85.67 [85.61, 85.72]","85.89 [85.83, 85.94]","85.67 [85.61, 85.72]","0.00 [0.00, 0.00]","81.96 [81.90, 82.03]","81.90 [81.83, 81.96]","81.96 [81.90, 82.03]","0.00 [0.00, 0.00]","84.95 [84.89, 85.01]","85.12 [85.06, 85.18]","84.95 [84.89, 85.01]","0.07 [0.07, 0.08]","85.30 [85.24, 85.36]","85.53 [85.47, 85.59]","85.30 [85.24, 85.36]","0.00 [0.00, 0.00]"
"50.26 [50.15, 50.38]","49.54 [49.42, 49.66]","50.26 [50.15, 50.38]","0.00 [0.00, 0.00]","49.27 [49.15, 49.38]","47.63 [47.52, 47.75]","49.27 [49.15, 49.38]","0.00 [0.00, 0.00]","49.58 [49.46, 49.70]","47.58 [47.46, 47.70]","49.58 [49.46, 49.70]","0.00 [0.00, 0.00]","51.71 [51.59, 51.82]","48.85 [48.71, 48.98]","51.71 [51.59, 51.82]","0.00 [0.00, 0.00]","45.88 [45.77, 45.99]","43.62 [43.50, 43.73]","45.88 [45.77, 45.99]","0.00 [0.00, 0.00]"
"33.26 [33.07, 33.45]","65.87 [65.68, 66.07]","72.17 [72.07, 72.27]","0.00 [0.00, 0.00]","40.87 [40.67, 41.07]","65.49 [65.29, 65.69]","73.06 [72.95, 73.17]","0.00 [0.00, 0.00]","19.16 [19.00, 19.32]","58.26 [58.05, 58.47]","60.26 [60.15, 60.37]","0.00 [0.00, 0.00]","20.74 [20.58, 20.91]","51.85 [51.66, 52.04]","58.86 [58.76, 58.97]","0.00 [0.00, 0.00]","30.64 [30.46, 30.82]","60.80 [60.58, 61.02]","66.46 [66.34, 66.59]","0.00 [0.00, 0.00]"
"67.85 [67.64, 68.05]","53.77 [53.49, 54.06]","68.09 [67.88, 68.30]","0.00 [0.00, 0.00]","74.38 [74.19, 74.58]","62.31 [61.98, 62.65]","74.68 [74.49, 74.88]","0.00 [0.00, 0.00]","62.03 [61.82, 62.25]","50.64 [50.35, 50.93]","62.13 [61.91, 62.34]","0.50 [0.47, 0.53]","68.37 [68.16, 68.57]","52.60 [52.27, 52.94]","68.55 [68.35, 68.76]","0.52 [0.49, 0.55]","70.33 [70.13, 70.54]","58.77 [58.45, 59.09]","70.65 [70.45, 70.86]","0.50 [0.47, 0.53]"
"93.33 [93.22, 93.43]","91.99 [91.86, 92.11]","93.33 [93.22, 93.43]","0.00 [0.00, 0.00]","91.31 [91.20, 91.42]","89.92 [89.79, 90.04]","91.31 [91.20, 91.42]","0.42 [0.39, 0.44]","91.57 [91.46, 91.68]","89.98 [89.85, 90.11]","91.57 [91.46, 91.68]","0.00 [0.00, 0.00]","91.66 [91.55, 91.77]","91.27 [91.16, 91.38]","91.66 [91.55, 91.77]","0.00 [0.00, 0.00]","90.34 [90.22, 90.46]","88.87 [88.73, 89.01]","90.34 [90.22, 90.46]","0.00 [0.00, 0.00]"
"38.23 [38.13, 38.32]","33.87 [33.77, 33.97]","38.23 [38.13, 38.32]","0.00 [0.00, 0.00]","39.79 [39.69, 39.89]","34.49 [34.39, 34.60]","39.79 [39.69, 39.89]","0.00 [0.00, 0.00]","35.34 [35.24, 35.43]","28.01 [27.92, 28.10]","35.34 [35.24, 35.43]","0.00 [0.00, 0.00]","25.00 [24.92, 25.08]","18.98 [18.91, 19.05]","25.00 [24.92, 25.08]","0.00 [0.00, 0.00]","36.12 [36.03, 36.22]","31.34 [31.25, 31.43]","36.12 [36.03, 36.22]","0.00 [0.00, 0.00]"
"87.30 [87.23, 87.36]","72.20 [72.07, 72.33]","87.30 [87.23, 87.36]","0.00 [0.00, 0.00]","59.90 [59.80, 60.00]","51.17 [51.08, 51.27]","59.90 [59.80, 60.00]","0.00 [0.00, 0.00]","48.29 [48.19, 48.39]","43.12 [43.02, 43.22]","48.29 [48.19, 48.39]","0.00 [0.00, 0.00]","53.02 [52.93, 53.12]","46.10 [46.00, 46.19]","53.02 [52.93, 53.12]","0.00 [0.00, 0.00]","43.30 [43.20, 43.39]","39.64 [39.55, 39.73]","43.30 [43.20, 43.39]","0.00 [0.00, 0.00]"
"88.14 [88.04, 88.23]","81.20 [81.05, 81.35]","88.15 [88.06, 88.25]","0.00 [0.00, 0.00]","85.49 [85.39, 85.59]","78.44 [78.28, 78.59]","85.49 [85.39, 85.59]","1.02 [0.99, 1.05]","83.71 [83.61, 83.82]","80.77 [80.61, 80.93]","83.74 [83.63, 83.84]","0.00 [0.00, 0.00]","84.71 [84.61, 84.81]","81.07 [80.92, 81.23]","84.72 [84.61, 84.82]","0.62 [0.60, 0.65]","84.98 [84.88, 85.07]","80.25 [80.09, 80.41]","84.99 [84.89, 85.08]","0.00 [0.00, 0.00]"
"83.50 [83.39, 83.60]","70.37 [70.19, 70.55]","83.59 [83.49, 83.70]","0.00 [0.00, 0.00]","76.69 [76.58, 76.81]","60.61 [60.42, 60.80]","76.85 [76.73, 76.97]","3.08 [3.03, 3.13]","71.25 [71.13, 71.38]","51.46 [51.28, 51.64]","71.47 [71.34, 71.60]","0.40 [0.38, 0.42]","74.15 [74.03, 74.28]","60.93 [60.75, 61.10]","74.30 [74.17, 74.43]","0.62 [0.60, 0.64]","78.12 [78.00, 78.23]","62.11 [61.95, 62.27]","78.50 [78.38, 78.61]","0.00 [0.00, 0.00]"
74.25133333,72.25333333,77.89666667,1.683333333,71.47666667,68.774,74.58066667,1.875333333,66.15,64.75466667,69.946,0.8953333333,66.60866667,64.85333333,70.29466667,1.374,69.06133333,67.552,72.45733333,1.721333333
