gemma-4-31B-it,gemma-4-31B-it,gemma-4-31B-it,gpt-4o,gpt-4o,gpt-4o,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Mistral-Large-Instruct-2411,Mistral-Large-Instruct-2411,Mistral-Large-Instruct-2411,Qwen3-Next-80B-A3B-Instruct,Qwen3-Next-80B-A3B-Instruct,Qwen3-Next-80B-A3B-Instruct
F1-entity,F1-event,Invalid,F1-entity,F1-event,Invalid,F1-entity,F1-event,Invalid,F1-entity,F1-event,Invalid,F1-entity,F1-event,Invalid
"88.63 [88.53, 88.73]","68.07 [67.91, 68.23]","1.66 [1.62, 1.70]","83.77 [83.66, 83.87]","52.81 [52.65, 52.96]","1.62 [1.58, 1.65]","81.57 [81.46, 81.68]","50.27 [50.10, 50.43]","0.92 [0.89, 0.95]","85.88 [85.77, 85.99]","52.86 [52.72, 52.99]","0.68 [0.66, 0.70]","88.24 [88.14, 88.33]","66.87 [66.73, 67.01]","0.00 [0.00, 0.00]"
"89.17 [89.03, 89.31]","46.18 [45.97, 46.39]","0.00 [0.00, 0.00]","87.76 [87.63, 87.89]","40.19 [39.99, 40.40]","0.54 [0.51, 0.57]","85.33 [85.17, 85.48]","39.39 [39.18, 39.60]","0.00 [0.00, 0.00]","90.89 [90.79, 91.00]","45.52 [45.31, 45.72]","0.00 [0.00, 0.00]","87.03 [86.89, 87.16]","37.87 [37.66, 38.08]","0.00 [0.00, 0.00]"
"40.83 [40.77, 40.88]","40.23 [40.17, 40.28]","0.00 [0.00, 0.00]","16.00 [15.93, 16.06]","15.04 [14.97, 15.10]","0.00 [0.00, 0.00]","16.17 [16.09, 16.25]","15.53 [15.45, 15.60]","0.00 [0.00, 0.00]","37.35 [37.28, 37.41]","35.79 [35.72, 35.85]","0.00 [0.00, 0.00]","38.73 [38.68, 38.78]","36.77 [36.72, 36.82]","0.00 [0.00, 0.00]"
"38.99 [38.88, 39.10]","5.54 [5.50, 5.59]","0.44 [0.41, 0.47]","30.72 [30.63, 30.81]","1.73 [1.70, 1.77]","0.45 [0.43, 0.48]","32.94 [32.84, 33.04]","2.30 [2.27, 2.33]","0.00 [0.00, 0.00]","31.03 [30.93, 31.13]","2.69 [2.65, 2.73]","0.86 [0.83, 0.90]","27.54 [27.45, 27.62]","1.39 [1.35, 1.42]","0.00 [0.00, 0.00]"
"49.41 [49.36, 49.47]","48.85 [48.80, 48.90]","0.00 [0.00, 0.00]","29.79 [29.73, 29.85]","29.30 [29.24, 29.36]","0.00 [0.00, 0.00]","31.15 [31.09, 31.20]","30.64 [30.59, 30.69]","0.00 [0.00, 0.00]","14.08 [13.99, 14.17]","13.87 [13.78, 13.96]","3.91 [3.83, 3.99]","27.90 [27.85, 27.95]","27.65 [27.59, 27.70]","0.00 [0.00, 0.00]"
"38.29 [38.23, 38.34]","35.56 [35.51, 35.61]","0.00 [0.00, 0.00]","28.26 [28.20, 28.31]","25.51 [25.45, 25.56]","0.00 [0.00, 0.00]","28.06 [28.01, 28.11]","25.01 [24.96, 25.06]","0.00 [0.00, 0.00]","27.85 [27.78, 27.91]","26.13 [26.07, 26.19]","1.18 [1.13, 1.22]","22.61 [22.57, 22.65]","19.53 [19.49, 19.57]","0.00 [0.00, 0.00]"
"10.52 [10.48, 10.56]","8.55 [8.51, 8.59]","0.00 [0.00, 0.00]","5.75 [5.72, 5.77]","5.22 [5.20, 5.24]","0.00 [0.00, 0.00]","3.60 [3.58, 3.62]","2.17 [2.15, 2.19]","0.00 [0.00, 0.00]","0.83 [0.82, 0.85]","0.74 [0.72, 0.75]","2.53 [2.46, 2.59]","2.97 [2.95, 2.98]","2.36 [2.35, 2.37]","0.00 [0.00, 0.00]"
"70.86 [70.83, 70.90]","67.17 [67.13, 67.21]","0.00 [0.00, 0.00]","49.11 [49.06, 49.17]","45.86 [45.81, 45.92]","0.00 [0.00, 0.00]","6.81 [6.75, 6.87]","5.72 [5.67, 5.77]","0.00 [0.00, 0.00]","44.05 [43.96, 44.14]","39.55 [39.47, 39.64]","0.00 [0.00, 0.00]","63.87 [63.83, 63.91]","59.30 [59.26, 59.35]","0.00 [0.00, 0.00]"
"46.31 [46.24, 46.37]","33.79 [33.73, 33.85]","0.35 [0.33, 0.37]","26.52 [26.42, 26.62]","20.74 [20.65, 20.82]","0.37 [0.35, 0.40]","38.65 [38.57, 38.73]","27.80 [27.73, 27.88]","0.00 [0.00, 0.00]","24.70 [24.61, 24.79]","20.16 [20.08, 20.24]","1.42 [1.37, 1.46]","45.85 [45.77, 45.93]","35.66 [35.59, 35.72]","0.00 [0.00, 0.00]"
