gemma-4-31B-it-Non-Thinking,gemma-4-31B-it-Non-Thinking,gemma-4-31B-it-Non-Thinking,gpt-4o,gpt-4o,gpt-4o,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Mistral-Large-Instruct-2411,Mistral-Large-Instruct-2411,Mistral-Large-Instruct-2411,Qwen3-Next-80B-A3B-Instruct-Non-Thinking,Qwen3-Next-80B-A3B-Instruct-Non-Thinking,Qwen3-Next-80B-A3B-Instruct-Non-Thinking
F1-entity,F1-event,Invalid,F1-entity,F1-event,Invalid,F1-entity,F1-event,Invalid,F1-entity,F1-event,Invalid,F1-entity,F1-event,Invalid
"89.04 [88.94, 89.14]","64.73 [64.57, 64.89]","1.15 [1.12, 1.18]","81.00 [80.89, 81.12]","45.18 [45.03, 45.34]","1.62 [1.58, 1.65]","81.89 [81.78, 82.00]","50.57 [50.41, 50.72]","0.46 [0.44, 0.49]","86.93 [86.83, 87.03]","55.09 [54.95, 55.24]","0.70 [0.68, 0.73]","86.25 [86.16, 86.35]","62.42 [62.26, 62.58]","0.72 [0.69, 0.74]"
"88.95 [88.81, 89.10]","46.02 [45.81, 46.24]","0.00 [0.00, 0.00]","83.00 [82.85, 83.15]","21.98 [21.80, 22.16]","0.49 [0.46, 0.52]","88.36 [88.23, 88.48]","40.52 [40.32, 40.72]","0.52 [0.49, 0.55]","89.64 [89.52, 89.76]","45.32 [45.11, 45.52]","0.00 [0.00, 0.00]","87.96 [87.83, 88.08]","33.73 [33.54, 33.93]","0.00 [0.00, 0.00]"
"39.76 [39.71, 39.82]","39.26 [39.21, 39.31]","0.00 [0.00, 0.00]","19.13 [19.06, 19.19]","16.14 [16.08, 16.19]","0.00 [0.00, 0.00]","14.39 [14.31, 14.47]","13.58 [13.51, 13.66]","0.00 [0.00, 0.00]","40.11 [40.04, 40.18]","38.23 [38.16, 38.29]","0.00 [0.00, 0.00]","36.99 [36.93, 37.04]","34.89 [34.84, 34.94]","0.00 [0.00, 0.00]"
"39.12 [39.02, 39.23]","5.51 [5.46, 5.56]","0.41 [0.38, 0.43]","28.19 [28.10, 28.28]","1.38 [1.35, 1.42]","0.86 [0.82, 0.89]","33.00 [32.89, 33.10]","2.16 [2.13, 2.19]","0.00 [0.00, 0.00]","31.98 [31.88, 32.08]","3.53 [3.48, 3.57]","0.88 [0.85, 0.92]","28.19 [28.10, 28.28]","1.58 [1.55, 1.62]","0.00 [0.00, 0.00]"
"49.03 [48.98, 49.08]","48.57 [48.51, 48.62]","0.00 [0.00, 0.00]","24.99 [24.93, 25.04]","24.42 [24.37, 24.47]","1.40 [1.35, 1.45]","28.48 [28.42, 28.53]","27.92 [27.86, 27.98]","0.00 [0.00, 0.00]","24.87 [24.75, 24.99]","24.38 [24.27, 24.50]","0.48 [0.45, 0.51]","26.07 [26.02, 26.13]","25.82 [25.76, 25.87]","0.00 [0.00, 0.00]"
"38.65 [38.60, 38.70]","36.07 [36.02, 36.12]","0.42 [0.39, 0.44]","25.90 [25.85, 25.96]","22.48 [22.43, 22.53]","0.81 [0.78, 0.84]","28.70 [28.64, 28.75]","25.65 [25.59, 25.70]","0.00 [0.00, 0.00]","28.79 [28.73, 28.85]","26.79 [26.74, 26.85]","0.78 [0.75, 0.82]","22.03 [21.98, 22.07]","18.66 [18.61, 18.70]","0.00 [0.00, 0.00]"
"10.07 [10.03, 10.11]","5.77 [5.73, 5.80]","0.00 [0.00, 0.00]","5.45 [5.42, 5.47]","4.90 [4.87, 4.92]","0.00 [0.00, 0.00]","3.91 [3.88, 3.93]","1.99 [1.97, 2.01]","0.00 [0.00, 0.00]","1.02 [1.01, 1.04]","0.89 [0.88, 0.90]","0.45 [0.42, 0.48]","3.12 [3.10, 3.14]","2.51 [2.50, 2.53]","0.85 [0.82, 0.89]"
"70.24 [70.21, 70.28]","66.30 [66.26, 66.34]","0.00 [0.00, 0.00]","44.66 [44.59, 44.73]","40.78 [40.71, 40.84]","0.00 [0.00, 0.00]","9.26 [9.19, 9.33]","7.65 [7.59, 7.71]","0.00 [0.00, 0.00]","41.15 [41.06, 41.24]","37.02 [36.94, 37.11]","0.39 [0.38, 0.41]","62.04 [61.99, 62.08]","57.33 [57.28, 57.37]","0.00 [0.00, 0.00]"
"45.83 [45.76, 45.90]","33.85 [33.80, 33.91]","0.37 [0.35, 0.40]","36.24 [36.17, 36.31]","26.96 [26.90, 27.02]","0.37 [0.35, 0.40]","36.67 [36.60, 36.75]","25.74 [25.68, 25.81]","0.00 [0.00, 0.00]","14.39 [14.31, 14.48]","12.17 [12.10, 12.25]","1.09 [1.05, 1.13]","44.50 [44.42, 44.58]","34.68 [34.61, 34.75]","0.00 [0.00, 0.00]"
