Name,Release Date,URL,Company,Size (B),Domain,Reasoning Model,License,,,,,,,,,,,,,,,,,,,,
Baichuan-M1-14B-Instruct,01/23/2025,https://huggingface.co/baichuan-inc/Baichuan-M1-14B-Instruct,baichuan-inc,14,Medical,No,Baichuan-M1-14B,,,,,,,,,,,,,,,,,,,,
Baichuan-M2-32B,08/10/2025,https://huggingface.co/baichuan-inc/Baichuan-M2-32B,baichuan-inc,32,Medical,Yes,Apache 2.0,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1,01/20/2025,https://huggingface.co/deepseek-ai/DeepSeek-R1,deepseek-ai,671,General,Yes,MIT,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Llama-8B,01/20/2025,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai,8,General,Yes,MIT,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Llama-70B,01/20/2025,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B,deepseek-ai,70,General,Yes,MIT,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-1.5B,01/20/2025,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai,1.5,General,Yes,MIT,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,01/20/2025,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai,7,General,Yes,MIT,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-14B,01/20/2025,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,deepseek-ai,14,General,Yes,MIT,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,01/20/2025,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,deepseek-ai,32,General,Yes,MIT,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-0528-Qwen3-8B,05/29/2025,https://huggingface.co/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,deepseek-ai,8,General,Yes,MIT,,,,,,,,,,,,,,,,,,,,
gemma-2-9b-it,06/27/2024,https://huggingface.co/google/gemma-2-9b-it,Google,9,General,No,Gemma,,,,,,,,,,,,,,,,,,,,
