Model,1-1.ADE-ADE identification-cot-greedy-42.result.json,1-2.ADE-ADE relation-cot-greedy-42.result.json,1-3.ADE-Drug dosage-cot-greedy-42.result.json,103.icliniq-10k-cot-greedy-42.result.json,104.HealthCareMagic-100k-cot-greedy-42.result.json,105.MIMIC-IV CDM-cot-greedy-42.result.json,106.MIMIC-III Outcome.LoS-cot-greedy-42.result.json,106.MIMIC-III Outcome.Mortality-cot-greedy-42.result.json,107.MIMIC-IV BHC-cot-greedy-42.result.json,108.MIMIC-IV DiReCT.Dis-cot-greedy-42.result.json,108.MIMIC-IV DiReCT.PDD-cot-greedy-42.result.json,19.ClinicalNotes-UPMC-cot-greedy-42.result.json,22.CLIP-cot-greedy-42.result.json,33.GOUT-CC.consensus-cot-greedy-42.result.json,35.n2c2 2006 - De-identification-cot-greedy-42.result.json,37.i2b2-2009-Medication-Extraction-Challenge-cot-greedy-42.result.json,38-1.i2b2-2010-Relations-Challenge-concept-cot-greedy-42.result.json,38-2.i2b2-2010-Relations-Challenge-assertion-cot-greedy-42.result.json,38-3.i2b2-2010-Relations-Challenge-relation-cot-greedy-42.result.json,41.n2c2 2014 - De-identification-cot-greedy-42.result.json,5.BrainMRI-AIS-cot-greedy-42.result.json,51.MEDIQA_2019_Task2_RQE-cot-greedy-42.result.json,55.MedNLI-cot-greedy-42.result.json,57.MedSTS-cot-greedy-42.result.json,62.mtsamples-cot-greedy-42.result.json,63.MTSamples-temporal annotation-cot-greedy-42.result.json,65.n2c2-2018-Track2-Adverse-Drug-Events-and-Medication-Extraction-cot-greedy-42.result.json,76-1.MTS-Dialog-MEDIQA-2023-chat-task-A-cot-greedy-42.result.json,76-2.MTS-Dialog-MEDIQA-2023-sum-task-A-cot-greedy-42.result.json,76-3.MTS-Dialog-MEDIQA-2023-sum-task-B-cot-greedy-42.result.json,90-1.n2c2 2014 - Heart Disease Challenge - Diabete-cot-greedy-42.result.json,90-2.n2c2 2014 - Heart Disease Challenge - CAD-cot-greedy-42.result.json,90-3.n2c2 2014 - Heart Disease Challenge - Hyperlipidemia-cot-greedy-42.result.json,90-4.n2c2 2014 - Heart Disease Challenge - Hypertension-cot-greedy-42.result.json,90-8.n2c2 2014 - Heart Disease Challenge - Medication-cot-greedy-42.result.json,task_average
AntAngelMed,0.006688963210702341,0.011682242990654205,0.015544041450777202,0.021828103683492497,0.02955621037592642,0.0625,0.14,0.16,0.069,0.06804123711340206,0.06804123711340206,0.0,0.004287245444801715,0.002352941176470588,0.04090909090909091,0.008733624454148471,0.0380952380952381,0.07114624505928854,0.046610169491525424,0.033073929961089495,0.0,0.021739130434782608,0.013370865587614356,0.010958904109589041,0.01702127659574468,0.06204379562043796,0.01485148514851485,0.05,0.01507537688442211,0.030303030303030304,0.0,0.008849557522123894,0.0,0.002544529262086514,0.008869179600886918,0.03296336147426409
Athene-V2-Chat,0.0033444816053511705,0.0,0.0051813471502590676,0.005457025920873124,0.006339851772479686,0.020833333333333332,0.082,0.103,0.056,0.04329896907216495,0.04329896907216495,0.0,0.0010718113612004287,0.002352941176470588,0.0,0.0,0.01904761904761905,0.043478260869565216,0.025423728813559324,0.005836575875486381,0.0,0.013043478260869565,0.0049261083743842365,0.0027397260273972603,0.00425531914893617,0.0072992700729927005,0.0,0.02,0.010050251256281407,0.020202020202020204,0.0,0.004424778761061947,0.0,0.0,0.0022172949002217295,0.015860661773562643
Baichuan-M1-14B-Instruct,0.0033444816053511705,0.0,0.0051813471502590676,0.0,0.004018215912135012,0.0125,0.076,0.098,0.044,0.030927835051546393,0.030927835051546393,0.0,0.0010718113612004287,0.004705882352941176,0.0,0.0,0.014285714285714285,0.043478260869565216,0.03389830508474576,0.007782101167315175,0.0,0.017391304347826087,0.0049261083743842365,0.0013698630136986301,0.01276595744680851,0.0036496350364963502,0.0,0.015,0.010050251256281407,0.010101010101010102,0.0,0.004424778761061947,0.0,0.0,0.004434589800443459,0.014121008229438023
Baichuan-M2-32B,0.00716674629718108,0.009345794392523364,0.010362694300518135,0.01637107776261937,0.026073756585409412,0.3333333333333333,0.183,0.201,0.086,0.088659793814433,0.08453608247422681,0.0,0.007502679528403001,0.004705882352941176,0.00909090909090909,0.013100436681222707,0.04285714285714286,0.08300395256916997,0.046610169491525424,0.023346303501945526,0.0,0.013043478260869565,0.011963406052076003,0.012328767123287671,0.02553191489361702,0.043795620437956206,0.024752475247524754,0.02,0.010050251256281407,0.010101010101010102,0.005494505494505495,0.01327433628318584,0.0,0.005089058524173028,0.013303769401330377,0.042422724231694894
BioMistral-7B,0.001433349259436216,0.0,0.0,0.002728512960436562,0.002857397981962675,0.029166666666666667,0.021,0.0,0.012,0.020618556701030927,0.020618556701030927,0.0,0.0,0.002352941176470588,0.0,0.0,0.0,0.0,0.0,0.017509727626459144,0.00749063670411985,0.0,0.0028149190710767065,0.0,0.01276595744680851,0.0,0.024752475247524754,0.02,0.010050251256281407,0.025252525252525252,0.0027472527472527475,0.008849557522123894,0.012048192771084338,0.005089058524173028,0.0066518847006651885,0.007679954866203695
Biomni-R0-32B-Preview-Non-Thinking,0.004300047778308648,0.007009345794392523,0.010362694300518135,0.004092769440654843,0.007589963389588356,0.025,0.081,0.091,0.044,0.05567010309278351,0.04742268041237113,0.0,0.0010718113612004287,0.007058823529411765,0.0,0.0,0.01904761904761905,0.03162055335968379,0.025423728813559324,0.0038910505836575876,0.0,0.008695652173913044,0.007741027445460943,0.00410958904109589,0.01276595744680851,0.0036496350364963502,0.0049504950495049506,0.02,0.010050251256281407,0.010101010101010102,0.0027472527472527475,0.01327433628318584,0.0,0.002544529262086514,0.011086474501108648,0.016493640035655833
Biomni-R0-32B-Preview-Thinking,0.005255613951266125,0.009345794392523364,0.010362694300518135,0.009549795361527967,0.009107956067506027,0.025,0.091,0.106,0.05,0.10927835051546392,0.07628865979381444,0.0,0.006430868167202572,0.002352941176470588,0.00909090909090909,0.0,0.02857142857142857,0.043478260869565216,0.059322033898305086,0.005836575875486381,0.0,0.013043478260869565,0.009148486980999296,0.005479452054794521,0.09787234042553192,0.0072992700729927005,0.0049504950495049506,0.02,0.01507537688442211,0.015151515151515152,0.01098901098901099,0.022123893805309734,0.004016064257028112,0.007633587786259542,0.004434589800443459,0.02552826981573341
DeepSeek-R1,0.003822264691829909,0.007009345794392523,0.010362694300518135,0.008185538881309686,0.0114295919278507,0.029166666666666667,0.081,0.109,0.049,0.05154639175257732,0.05154639175257732,0.0,0.0010718113612004287,0.002352941176470588,0.013636363636363636,0.0,0.0380952380952381,0.06324110671936758,0.025423728813559324,0.011673151750972763,0.0,0.013043478260869565,0.009852216748768473,0.005479452054794521,0.01702127659574468,0.04744525547445255,0.034653465346534656,0.02,0.010050251256281407,0.010101010101010102,0.0027472527472527475,0.008849557522123894,0.0,0.005089058524173028,0.0066518847006651885,0.021672782475816155
DeepSeek-R1-0528-Qwen3-8B,0.007644529383659818,0.014018691588785047,0.010362694300518135,0.013642564802182811,0.016072863648540048,0.125,0.141,0.187,0.059,0.07835051546391752,0.07422680412371134,0.0,0.0021436227224008574,0.009411764705882352,0.013636363636363636,0.004366812227074236,0.03333333333333333,0.05928853754940711,0.038135593220338986,0.0311284046692607,0.0,0.008695652173913044,0.01055594651653765,0.005479452054794521,0.01276595744680851,0.06934306569343066,0.024752475247524754,0.05,0.03015075376884422,0.05555555555555555,0.0,0.004424778761061947,0.0,0.0,0.008869179600886918,0.034238740348420955
DeepSeek-R1-Distill-Llama-70B,0.004777830864787387,0.007009345794392523,0.010362694300518135,0.004092769440654843,0.00866148763282436,0.029166666666666667,0.102,0.141,0.05,0.05154639175257732,0.0577319587628866,0.0,0.0010718113612004287,0.002352941176470588,0.004545454545454545,0.0,0.02857142857142857,0.05928853754940711,0.0211864406779661,0.0019455252918287938,0.0,0.017391304347826087,0.00844475721323012,0.0027397260273972603,0.02553191489361702,0.025547445255474453,0.01485148514851485,0.03,0.010050251256281407,0.010101010101010102,0.0,0.008849557522123894,0.0,0.0,0.0,0.021109106747272552
