Stigma Term,Count,Proportion (%)
abuse,105884,79.78840444290387
alcoholic,7314,5.511431284192123
drug abuse,7045,5.308727563184784
clean,2449,1.8454327611411692
replacement therapy,1778,1.3398037767697013
user,1457,1.0979156933371512
alcoholics,1393,1.0496887857368922
addicted,889,0.6699018883848507
abusers,761,0.5734480731843322
abusing,644,0.48528325772760833
abuses,525,0.3956113514083764
addict,517,0.3895829879583439
dirty,413,0.31121426310792266
abuser,315,0.23736681084502578
polysubstance dependence,295,0.22229590221994472
medication - assisted treatment,287,0.2162675387699123
addicts,223,0.1680406311696532
users,194,0.1461878136632857
substance dependence,110,0.0828899974379453
drug abuser,87,0.0655584525191023
opioid substitution,52,0.039184362425210506
opioid replacement therapy,25,0.0188386357813512
substance abuser,16,0.0120567269000648
drug abusers,8,0.0060283634500324
cleans,7,0.0052748180187783
drunk,7,0.0052748180187783
substance abusers,5,0.0037677271562702
drug abuses,3,0.0022606362937621
former addict,1,0.000753545431254
junkie,1,0.000753545431254
medication assisted treatment,1,0.000753545431254
