Stigma Term,GENERAL,MEDICAL
abuse,82968,22916
alcoholic,5930,1384
drug abuse,5430,1615
clean,1954,495
replacement therapy,1426,352
user,1316,141
alcoholics,1067,326
addicted,673,216
abusers,613,148
abusing,530,114
abuses,430,95
addict,386,131
dirty,322,91
abuser,232,83
polysubstance dependence,237,58
medication - assisted treatment,248,39
addicts,179,44
users,159,35
substance dependence,89,21
drug abuser,63,24
opioid substitution,48,4
opioid replacement therapy,17,8
substance abuser,12,4
drug abusers,5,3
cleans,6,1
drunk,3,4
substance abusers,3,2
drug abuses,3,0
former addict,1,0
junkie,0,1
medication assisted treatment,1,0
